Application Number,Publication number,Title,Status,Country,Grant Date,Expiration date,size_family,number_citations,score
EP99953985,GR20030404354,Interlaced multiband antenna arrays,Inactive-Sold,Greece,2003-08-27 00:00:00,2004-08-27 00:00:00,0,0,1.0416666666666667
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Ireland,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Luxemburg,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Monaco,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Netherlands,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Portugal,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Sweden,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Switzerland,2003-08-27 00:00:00,2004-08-27 00:00:00,261,261,2.096672156432175
EP99953985,AT248443T,Interlaced multiband antenna arrays,Inactive-Sold,Austria,2003-08-27 00:00:00,2004-09-15 00:00:00,0,0,1.0416666666666667
RU2002113646,SE401415,Interlaced multiband antenna arrays,Inactive-Sold,Russia,2004-05-11 00:00:00,2005-10-26 00:00:00,6,6,1.065919666431391
PI9917541,PI9917541,Interlaced multiband antenna arrays,Inactive-Sold,Brazil,,2006-01-10 00:00:00,0,0,1.0416666666666667
US10935559,US20050030247,Interlaced multiband antenna arrays,Inactive-Sold,United States,,2006-05-24 00:00:00,252,264,2.084408412412098
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,France,2003-08-27 00:00:00,2013-03-21 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Germany,2003-08-27 00:00:00,2013-03-21 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Great Britain,2003-08-27 00:00:00,2013-03-21 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Italy,2003-08-27 00:00:00,2013-03-21 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,Spain,2003-08-27 00:00:00,2013-03-21 00:00:00,261,261,2.096672156432175
EP99953985,EP1227545,Interlaced multiband antenna arrays,Inactive-Sold,European Patent,2003-08-27 00:00:00,2013-03-21 00:00:00,261,261,2.096672156432175
MX2002PA04221,MXPA02004221,Interlaced multiband antenna arrays,Inactive-Sold,Mexico,2004-12-06 00:00:00,2015-04-03 00:00:00,261,261,2.096672156432175
US15875831,US20180145424,Interlaced multiband antenna arrays,Inactive-Sold,United States,,2019-04-18 00:00:00,261,261,2.3050054897655086
CN19990817022,CN1379922,Interlaced multiband antenna arrays,Inactive-Sold,China P.R.,2005-04-06 00:00:00,2019-10-26 00:00:00,261,261,2.3050054897655086
US10988261,US20050146481,Interlaced multiband antenna arrays,Inactive-Sold,United States,2007-07-31 00:00:00,2019-10-26 00:00:00,166,264,2.117944997777952
US11803782,US20080036676,Interlaced multiband antenna arrays,Inactive-Sold,United States,2009-07-07 00:00:00,2019-10-26 00:00:00,254,262,2.292787493791337
US12476308,US20090267863,Interlaced multiband antenna arrays,Inactive-Sold,United States,2011-04-26 00:00:00,2019-10-26 00:00:00,168,264,2.1220100384283587
US13044831,US20110156986,Interlaced multiband antenna arrays,Inactive-Sold,United States,2012-07-24 00:00:00,2019-10-26 00:00:00,260,261,2.3029729694403054
US13530249,US20120262359,Interlaced multiband antenna arrays,Inactive-Sold,United States,2014-11-25 00:00:00,2019-10-26 00:00:00,258,261,2.298907928789899
US10135019,US20020171601,Interlaced multiband antenna arrays,Inactive-Sold,United States,2005-08-30 00:00:00,2020-05-30 00:00:00,163,263,2.3181711238334253
US14529715,US20150065151,Interlaced multiband antenna arrays,Inactive-Sold,United States,2018-02-27 00:00:00,2020-12-17 00:00:00,258,261,2.507241262123232
PCTES9900343,WO0131747,Interlaced multiband antenna arrays,Inactive-Sold,International,,,0,0,1.0416666666666667
US10182635,,Space-filling miniature antennas,Inactive-Abandoned,United States,,2005-10-19 00:00:00,0,0,0.625
EP05000378,EP1538699,Space-filling miniature antennas,Inactive-Abandoned,European Patent,,2007-02-22 00:00:00,0,6,0.6370578778135049
EP06007350,EP1699110,Space-filling miniature antennas,Inactive-Withdrawn,European Patent,,2008-03-13 00:00:00,0,8,0.6410771704180064
EP05012854,DE20023881,Space-filling miniature antennas,Inactive-Expired,Germany,2007-02-15 00:00:00,2010-01-19 00:00:00,0,0,0.8333333333333333
EP06120498,EP1724874,Space-filling miniature antennas,Inactive-Abandoned,European Patent,,2011-09-15 00:00:00,6,6,0.6492529997647244
BR0017065,,Space-filling miniature antennas,Inactive-Abandoned,Brazil,,2012-02-20 00:00:00,0,0,0.625
JP2001553615,JP2003521146,Space-filling miniature antennas,Inactive-Abandoned,Japan,2008-01-25 00:00:00,2013-12-30 00:00:00,393,393,2.213571484589444
PAA2006007655,MX265596,Space-filling miniature antennas,Inactive-Abandoned,Mexico,2009-04-14 00:00:00,2014-06-30 00:00:00,0,0,0.625
RU2002122110,RU2002122110,Space-filling miniature antennas,Inactive-Abandoned,Russia,2005-10-27 00:00:00,2014-06-30 00:00:00,0,0,0.625
EP00909089,EP1258054,Space-filling miniature antennas,Inactive-Abandoned,France,2005-08-17 00:00:00,2014-07-30 00:00:00,393,393,2.213571484589444
EP00909089,EP1258054,Space-filling miniature antennas,Inactive-Abandoned,Great Britain,2005-08-17 00:00:00,2014-07-30 00:00:00,393,393,2.213571484589444
EP00909089,IT30339BE2005,Space-filling miniature antennas,Inactive-Abandoned,Italy,2005-08-17 00:00:00,2014-07-30 00:00:00,0,0,0.625
EP10180798,EP2267838,Space-filling miniature antennas,Inactive-Abandoned,European Patent,,2014-09-08 00:00:00,6,6,0.6492529997647244
US11110052,US20050195112,Space-filling miniature antennas,Inactive-Abandoned,United States,2006-12-12 00:00:00,2018-12-12 00:00:00,294,393,2.012351972394322
US11154843,US20050231427,Space-filling miniature antennas,Inactive-Abandoned,United States,2007-01-16 00:00:00,2019-01-16 00:00:00,294,394,2.222694952029906
US11179250,US20050264453,Space-filling miniature antennas,Inactive-Abandoned,United States,2007-04-10 00:00:00,2019-04-10 00:00:00,294,394,2.222694952029906
EP00909089,DE60022096,Space-filling miniature antennas,Inactive-expired,Germany,2005-08-17 00:00:00,2020-01-19 00:00:00,393,393,2.838571484589444
EP00909089,ES2246226,Space-filling miniature antennas,Inactive-Expired,Spain,2005-08-17 00:00:00,2020-01-19 00:00:00,393,393,2.838571484589444
EP05012854,EP1592083,Space-filling miniature antennas,Inactive-Expired,France,2013-04-03 00:00:00,2020-01-19 00:00:00,388,395,2.8324281755679293
EP05012854,DE60047936,Space-filling miniature antennas,Inactive-Expired,Germany,2013-04-03 00:00:00,2020-01-19 00:00:00,0,0,1.25
EP05012854,EP1592083,Space-filling miniature antennas,Inactive-Expired,Spain,2013-04-03 00:00:00,2020-01-19 00:00:00,388,395,2.8324281755679293
EP05012854,EP1592083,Space-filling miniature antennas,Inactive-Expired,Netherlands,2013-04-03 00:00:00,2020-01-19 00:00:00,388,395,2.8324281755679293
CN00818542,CN1425208,Space-filling miniature antennas,Inactive-Expired,China P.R.,2008-05-03 00:00:00,2020-01-19 00:00:00,393,393,2.838571484589444
CN200710104517,CN101090173,Space-filling miniature antennas,Inactive-Expired,China P.R.,2012-11-28 00:00:00,2020-01-19 00:00:00,1,1,1.2540421666274542
INPCT200200929,INPCT200200,Space-filling miniature antennas,Inactive-Expired,India,2007-09-13 00:00:00,2020-01-19 00:00:00,0,0,1.25
IN602KOL2006,IN276113,Space-filling miniature antennas,Inactive-Expired,India,2016-09-30 00:00:00,2020-01-19 00:00:00,0,0,1.25
JP2007120796,JP2007267402,Space-filling miniature antennas,Inactive-Expired,Japan,2011-04-28 00:00:00,2020-01-19 00:00:00,0,2,1.2540192926045015
PAA2002007113,PAA2002007113,Space-filling miniature antennas,Inactive-Expired,Mexico,2006-07-14 00:00:00,2020-01-19 00:00:00,0,0,1.25
US16432058,US20190312343,Space-filling miniature antennas,Inactive-expired,United States,,2020-01-19 00:00:00,392,393,2.836538964264241
US11686804,US20070152886,Space-filling miniature antennas,Inactive-Expired,United States,2009-06-30 00:00:00,2020-01-19 00:00:00,320,394,2.6922071471518576
US13020034,US20110181481,Space-filling miniature antennas,Inactive-Expired,United States,2013-06-25 00:00:00,2020-01-19 00:00:00,295,395,2.6434037853240264
EP00909089,EP1258054,Space-filling miniature antennas,Inactive-Validated,European Patent,2005-08-17 00:00:00,2020-01-19 00:00:00,393,393,3.0469048179227776
EP05012854,EP1592083,Space-filling miniature antennas,Inactive-Validated,European Patent,2013-04-03 00:00:00,2020-01-19 00:00:00,388,395,3.040761508901263
US12498090,US20090303134,Space-filling miniature antennas,Inactive-Expired,United States,2012-06-26 00:00:00,2020-04-03 00:00:00,294,394,2.639361618696573
US13044207,US20110177839,Space-filling miniature antennas,Inactive-Expired,United States,2013-10-15 00:00:00,2020-04-10 00:00:00,295,395,2.6434037853240264
US13038883,US20110181478,Space-filling miniature antennas,Inactive-Expired,United States,2013-12-17 00:00:00,2020-04-21 00:00:00,295,395,2.6434037853240264
US12347462,US20090109101,Space-filling miniature antennas,Inactive-Expired,United States,2012-07-03 00:00:00,2020-08-26 00:00:00,294,394,2.639361618696573
US14045241,US20140028505,Space-filling miniature antennas,Inactive-Expired,United States,2016-05-03 00:00:00,2020-11-02 00:00:00,392,393,2.836538964264241
US15084140,US20160285168,Space-filling miniature antennas,Inactive-expired,United States,2019-07-16 00:00:00,2021-01-29 00:00:00,392,393,3.044872297597574
PCTEP0000411,WO0154225,Space-filling miniature antennas,Inactive-Nationalized,International,,,0,0,1.0416666666666667
RU2002122107,,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Abandoned,Russia,,2004-01-16 00:00:00,0,0,0.625
BR2000017066,BR0017066,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Abandoned,Brazil,,2004-01-19 00:00:00,97,97,1.0170901628630433
INPCT200200908,,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Abandoned,India,,2004-05-11 00:00:00,0,0,0.625
JP20010553611,JP2003520542,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Abandoned,Japan,,2004-08-25 00:00:00,97,97,1.0170901628630433
PAA2002007112,,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Abandoned,Mexico,,2005-05-03 00:00:00,0,0,0.625
CN00819117,CN1434988,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Abandoned,China P.R.,,2007-06-12 00:00:00,97,97,1.0170901628630433
US10181790,,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Sold,United States,2007-07-17 00:00:00,2020-01-19 00:00:00,0,0,1.4583333333333335
EP00902622,EP1269562,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Sold,European Patent,,2020-01-19 00:00:00,95,97,1.8463584555459702
